"hostphylogeny.taxon","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"Ara macao",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ara militaris",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Ara severus",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Aramides cajanea",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Aramus guarauna",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Aratinga erythrogenys",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Aratinga leucophthalma",1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
"Aratinga mitrata",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Aratinga wagleri",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Aratinga weddellii",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ardea cocoi",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Arremon abeillei",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Arremon aurantiirostris",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Arremon brunneinucha",0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0
"Arremon castaneiceps",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Arremon taciturnus",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Arremon torquatus",0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1
"Asio flammeus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Asio stygius",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"Asthenes berlepschi",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asthenes dorbignyi",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Asthenes flammulata",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
